currentcgpa,MinMax scaling
4.00 , 1.000000 
4.00 , 1.000000 
3.50 , 0.666667 
3.50 , 0.666667 
3.50 , 0.666667 
2.50 , 0.000000 
2.50 , 0.000000 
2.50 , 0.000000 
3.00 , 0.333333 
2.75 , 0.166667 
2.50 , 0.000000 
4.00 , 1.000000 
4.00 , 1.000000 
3.00 , 0.333333 
3.50 , 0.666667 
2.75 , 0.166667 
4.00 , 1.000000 
4.00 , 1.000000 
3.50 , 0.666667 
4.00 , 1.000000 
2.75 , 0.166667 
2.75 , 0.166667 
2.50 , 0.000000 
3.00 , 0.333333 
3.50 , 0.666667 
4.00 , 1.000000 
4.00 , 1.000000 
4.00 , 1.000000 
3.50 , 0.666667 
4.00 , 1.000000 
2.75 , 0.166667 
3.00 , 0.333333 
2.50 , 0.000000 
2.75 , 0.166667 
2.75 , 0.166667 
2.50 , 0.000000 
3.00 , 0.333333 
3.50 , 0.666667 
4.00 , 1.000000 
4.00 , 1.000000 
2.75 , 0.166667 
2.50 , 0.000000 
4.00 , 1.000000 
3.00 , 0.333333 
2.50 , 0.000000 
2.75 , 0.166667 
3.50 , 0.666667 
4.00 , 1.000000 
4.00 , 1.000000 
2.75 , 0.166667 
2.75 , 0.166667 
2.75 , 0.166667 
